Via Unit 0,Via Unit 2,R/W,Content,Category
100,0,RW,Digital Output 2.1,Basic
101,1,RW,Digital Output 2.2,Basic
102,2,RW,Digital Output 2.3,Basic
103,3,RW,Digital Output 2.4,Basic
104,4,RW,Digital Output 2.5,Basic
105,5,RW,Digital Output 2.6,Basic
106,6,RW,Digital Output 2.7,Basic
107,7,RW,Digital Output 2.8,Basic
108,8,RW,Digital Output 2.9,Basic
109,9,RW,Digital Output 2.10,Basic
110,10,RW,Digital Output 2.11,Basic
111,11,RW,Digital Output 2.12,Basic
112,12,RW,Digital Output 2.13,Basic
113,13,RW,Digital Output 2.14,Basic
114,14,RW,Digital Output 2.15,Basic
115,15,RW,Digital Output 2.16,Basic
116,16,RW,Digital Output 2.17,Basic
117,17,RW,Digital Output 2.18,Basic
118,18,RW,Digital Output 2.19,Basic
119,19,RW,Digital Output 2.20,Basic
120,20,RW,Digital Output 2.21,Basic
121,21,RW,Digital Output 2.22,Basic
122,22,RW,Digital Output 2.23,Basic
123,23,RW,Digital Output 2.24,Basic
124,24,RW,Digital Output 2.25,Basic
125,25,RW,Digital Output 2.26,Basic
126,26,RW,Digital Output 2.27,Basic
127,27,RW,Digital Output 2.28,Basic
1100,1000,RW,MWD reset indication,Advanced
1102,1002,R,Reset group MCU,Advanced
1103,1003,RW,Save current configuration and use on startup,Advanced
1104,1004,RW,(Internal) Firmware programming toggle,Expert
1105,1005,RW,(Internal) Firmware reprogramming toggle,Expert
1106,1006,RW,(Internal) Firmware calibration programming toggle,Expert
