Via Unit 0,Via Unit 2,Register Count,R/W,Data Type,Content,Start Bit Nr.,Category
100,0,1,R,MixedBits,Digital Input 2.1,0,Basic
100,0,1,R,MixedBits,Digital Input 2.2,1,Basic
100,0,1,R,MixedBits,Digital Input 2.3,2,Basic
100,0,1,R,MixedBits,Digital Input 2.4,3,Basic
100,0,1,R,MixedBits,Digital Input 2.5,4,Basic
100,0,1,R,MixedBits,Digital Input 2.6,5,Basic
100,0,1,R,MixedBits,Digital Input 2.7,6,Basic
100,0,1,R,MixedBits,Digital Input 2.8,7,Basic
100,0,1,R,MixedBits,Digital Input 2.9,8,Basic
100,0,1,R,MixedBits,Digital Input 2.10,9,Basic
100,0,1,R,MixedBits,Digital Input 2.11,10,Basic
100,0,1,R,MixedBits,Digital Input 2.12,11,Basic
100,0,1,R,MixedBits,Digital Input 2.13,12,Basic
100,0,1,R,MixedBits,Digital Input 2.14,13,Basic
100,0,1,R,MixedBits,Digital Input 2.15,14,Basic
100,0,1,R,MixedBits,Digital Input 2.16,15,Basic
101,1,1,RW,MixedBits,Relay Output 2.1,0,Basic
101,1,1,RW,MixedBits,Relay Output 2.2,1,Basic
101,1,1,RW,MixedBits,Relay Output 2.3,2,Basic
101,1,1,RW,MixedBits,Relay Output 2.4,3,Basic
101,1,1,RW,MixedBits,Relay Output 2.5,4,Basic
101,1,1,RW,MixedBits,Relay Output 2.6,5,Basic
101,1,1,RW,MixedBits,Relay Output 2.7,6,Basic
101,1,1,RW,MixedBits,Relay Output 2.8,7,Basic
101,1,1,RW,MixedBits,Relay Output 2.9,8,Basic
101,1,1,RW,MixedBits,Relay Output 2.10,9,Basic
101,1,1,RW,MixedBits,Relay Output 2.11,10,Basic
101,1,1,RW,MixedBits,Relay Output 2.12,11,Basic
101,1,1,RW,MixedBits,Relay Output 2.13,12,Basic
101,1,1,RW,MixedBits,Relay Output 2.14,13,Basic
102,2,1,RW,MixedBits,Group MasterWatchDog (MWD) Status,,Advanced
103,3,2,RW,DWord,Counter of Digital Input 2.1,,Basic
105,5,2,RW,DWord,Counter of Digital Input 2.2,,Basic
107,7,2,RW,DWord,Counter of Digital Input 2.3,,Basic
109,9,2,RW,DWord,Counter of Digital Input 2.4,,Basic
111,11,2,RW,DWord,Counter of Digital Input 2.5,,Basic
113,13,2,RW,DWord,Counter of Digital Input 2.6,,Basic
115,15,2,RW,DWord,Counter of Digital Input 2.7,,Basic
117,17,2,RW,DWord,Counter of Digital Input 2.8,,Basic
119,19,2,RW,DWord,Counter of Digital Input 2.9,,Basic
121,21,2,RW,DWord,Counter of Digital Input 2.10,,Basic
123,23,2,RW,DWord,Counter of Digital Input 2.11,,Basic
125,25,2,RW,DWord,Counter of Digital Input 2.12,,Basic
127,27,2,RW,DWord,Counter of Digital Input 2.13,,Basic
129,29,2,RW,DWord,Counter of Digital Input 2.14,,Basic
131,31,2,RW,DWord,Counter of Digital Input 2.15,,Basic
133,33,2,RW,DWord,Counter of Digital Input 2.16,,Basic
135,35,1,W,Word,Reserved - Do Not Use,,Reserved
