Via Unit 0,Via Unit 1,Register Count,R/W,Data Type,Content,Start Bit Nr.,Category
0,0,1,R,MixedBits,Digital Input 1.1,0,Basic
0,0,1,R,MixedBits,Digital Input 1.2,1,Basic
0,0,1,R,MixedBits,Digital Input 1.3,2,Basic
0,0,1,R,MixedBits,Digital Input 1.4,3,Basic
1,1,1,RW,MixedBits,Digital Output 1.1,0,Basic
1,1,1,RW,MixedBits,Digital Output 1.2,1,Basic
1,1,1,RW,MixedBits,Digital Output 1.3,2,Basic
1,1,1,RW,MixedBits,Digital Output 1.4,3,Basic
2,2,1,RW,Word,Analog Output (raw value) 1.1,,Obsolete
3,3,1,R,Word,Analog Input (raw value) 1.1,,Obsolete
4,4,1,R,Word,Analog Input/Output (raw value) 1.1,,Obsolete
5,5,1,R,Word,VRefInt of MCU,,Expert
6,6,1,RW,MixedBits,Group MasterWatchDog (MWD) Status,,Advanced
7,7,1,R,Word,Length of RS485 TX Queue 1.1,,Obsolete
8,8,2,RW,DWord,Counter of Digital Input 1.1,,Basic
10,10,2,RW,DWord,Counter of Digital Input 1.2,,Basic
12,12,2,RW,DWord,Counter of Digital Input 1.3,,Basic
14,14,2,RW,DWord,Counter of Digital Input 1.4,,Basic
16,16,1,RW,Word,PWM Duty Cycle of DO 1.1,,Basic
17,17,1,RW,Word,PWM Duty Cycle of DO 1.2,,Basic
18,18,1,RW,Word,PWM Duty Cycle of DO 1.3,,Basic
19,19,1,RW,Word,PWM Duty Cycle of DO 1.4,,Basic
20,20,1,RW,MixedBits,User LED 1.1,0,Basic
20,20,1,RW,MixedBits,User LED 1.2,1,Basic
20,20,1,RW,MixedBits,User LED 1.3,2,Basic
20,20,1,RW,MixedBits,User LED 1.4,3,Basic
21,21,1,RW,MixedBits,Synchronised DO/RO 1.1,0,Advanced
21,21,1,RW,MixedBits,Synchronised DO/RO 1.2,1,Advanced
21,21,1,RW,MixedBits,Synchronised DO/RO 1.3,2,Advanced
21,21,1,RW,MixedBits,Synchronised DO/RO 1.4,3,Advanced
22,22,1,RW,MixedBits,Synchronised DO/RO Lock 1.1,0,Advanced
22,22,1,RW,MixedBits,Synchronised DO/RO Lock 1.2,1,Advanced
22,22,1,RW,MixedBits,Synchronised DO/RO Lock 1.3,2,Advanced
22,22,1,RW,MixedBits,Synchronised DO/RO Lock 1.4,3,Advanced
,100,2,RW,DWord,(Internal) RS485 Full Mode Configuration 1.1,,Obsolete
,500,1,RW,Word,RS485 TERMIOS CFlags 1.1,,Expert
,501,1,RW,Word,RS485 TERMIOS LFlags 1.1,,Expert
,502,1,RW,Word,RS485 TERMIOS IFlags 1.1,,Expert
,503,1,RW,Word,RS485 TERMIOS LDisc 1.1,,Expert
,504,1,RW,Word,RS485 ModBus Timeout 1.1,,Basic
505,505,1,W,Word,Reserved - Do Not Use,,Reserved
506,506,1,W,Word,Reserved - Do Not Use,,Reserved
507,507,1,W,Word,Reserved - Do Not Use,,Reserved
508,508,1,W,Word,Reserved - Do Not Use,,Reserved
509,509,1,W,Word,Reserved - Do Not Use,,Reserved
