Via Unit 0,Via Unit 1,Register Count,R/W,Data Type,Content,Start Bit Nr.,Category
0,0,1,R,MixedBits,Digital Input 1.1,0,Basic
0,0,1,R,MixedBits,Digital Input 1.2,1,Basic
0,0,1,R,MixedBits,Digital Input 1.3,2,Basic
0,0,1,R,MixedBits,Digital Input 1.4,3,Basic
0,0,1,R,MixedBits,Digital Input 1.5,4,Basic
0,0,1,R,MixedBits,Digital Input 1.6,5,Basic
1,1,1,RW,MixedBits,Relay Output 1.1,0,Basic
1,1,1,RW,MixedBits,Relay Output 1.2,1,Basic
1,1,1,RW,MixedBits,Relay Output 1.3,2,Basic
1,1,1,RW,MixedBits,Relay Output 1.4,3,Basic
1,1,1,RW,MixedBits,Relay Output 1.5,4,Basic
2,2,1,RW,Word,Analog Output Value 1.1 (0..4000 ~ 0..10V),,Basic
3,3,1,RW,Word,Analog Output Value 1.2 (0..4000 ~ 0..10V),,Basic
4,4,1,RW,Word,Analog Output Value 1.3 (0..4000 ~ 0..10V),,Basic
5,5,1,RW,Word,Analog Output Value 1.4 (0..4000 ~ 0..10V),,Basic
6,6,2,R,Real,Analog Input Value 1.1,,Basic
8,8,2,R,Real,Analog Input Value 1.2,,Basic
10,10,2,R,Real,Analog Input Value 1.3,,Basic
12,12,2,R,Real,Analog Input Value 1.4,,Basic
14,14,1,RW,MixedBits,Group MasterWatchDog (MWD) Status,,Advanced
15,15,2,RW,DWord,Counter of Digital Input 1.1,,Basic
17,17,2,RW,DWord,Counter of Digital Input 1.2,,Basic
19,19,2,RW,DWord,Counter of Digital Input 1.3,,Basic
21,21,2,RW,DWord,Counter of Digital Input 1.4,,Basic
23,23,2,RW,DWord,Counter of Digital Input 1.5,,Basic
25,25,2,RW,DWord,Counter of Digital Input 1.6,,Basic
27,27,1,RW,MixedBits,Synchronised DO/RO 1.1,0,Advanced
27,27,1,RW,MixedBits,Synchronised DO/RO 1.2,1,Advanced
27,27,1,RW,MixedBits,Synchronised DO/RO 1.3,2,Advanced
27,27,1,RW,MixedBits,Synchronised DO/RO 1.4,3,Advanced
27,27,1,RW,MixedBits,Synchronised DO/RO 1.5,4,Advanced
28,28,1,RW,MixedBits,Synchronised DO/RO Lock 1.1,0,Advanced
28,28,1,RW,MixedBits,Synchronised DO/RO Lock 1.2,1,Advanced
28,28,1,RW,MixedBits,Synchronised DO/RO Lock 1.3,2,Advanced
28,28,1,RW,MixedBits,Synchronised DO/RO Lock 1.4,3,Advanced
28,28,1,RW,MixedBits,Synchronised DO/RO Lock 1.5,4,Advanced
,100,2,RW,DWord,(Internal) RS485 Full Mode Configuration 1.1,,Obsolete
,500,1,RW,Word,RS485 TERMIOS CFlags 1.1,,Expert
,501,1,RW,Word,RS485 TERMIOS LFlags 1.1,,Expert
,502,1,RW,Word,RS485 TERMIOS IFlags 1.1,,Expert
,503,1,RW,Word,RS485 TERMIOS LDisc 1.1,,Expert
,504,1,RW,Word,RS485 ModBus Timeout 1.1,,Basic
505,505,1,W,Word,Reserved - Do Not Use,,Reserved
506,506,1,W,Word,Reserved - Do Not Use,,Reserved
