Via Unit 0,Via Unit 2,R/W,Content,Category
100,0,RW,Digital Output 2.1,Basic
101,1,RW,Digital Output 2.2,Basic
102,2,RW,Digital Output 2.3,Basic
103,3,RW,Digital Output 2.4,Basic
104,4,RW,Digital Output 2.5,Basic
105,5,R,Digital Input 2.1,Basic
106,6,R,Digital Input 2.2,Basic
107,7,R,Digital Input 2.3,Basic
108,8,R,Digital Input 2.4,Basic
109,9,R,Digital Input 2.5,Basic
110,10,R,Digital Input 2.6,Basic
1100,1000,RW,MWD reset indication,Advanced
1102,1002,R,Reset group MCU,Advanced
1103,1003,RW,Save current configuration and use on startup,Advanced
1104,1004,RW,(Internal) Firmware programming toggle,Expert
1105,1005,RW,(Internal) Firmware reprogramming toggle,Expert
1106,1006,RW,(Internal) Firmware calibration programming toggle,Expert
1107,1007,RW,Enable DirectSwitch on DI 2.1,Advanced
1108,1008,RW,Enable DirectSwitch on DI 2.2,Advanced
1109,1009,RW,Enable DirectSwitch on DI 2.3,Advanced
1110,1010,RW,Enable DirectSwitch on DI 2.4,Advanced
1111,1011,RW,Enable DirectSwitch on DI 2.5,Advanced
1112,1012,RW,Invert DirectSwitch Polarity on DI 2.1,Advanced
1113,1013,RW,Invert DirectSwitch Polarity on DI 2.2,Advanced
1114,1014,RW,Invert DirectSwitch Polarity on DI 2.3,Advanced
1115,1015,RW,Invert DirectSwitch Polarity on DI 2.4,Advanced
1116,1016,RW,Invert DirectSwitch Polarity on DI 2.5,Advanced
1117,1017,RW,Enable DirectSwitch Toggle Mode on DI 2.1,Advanced
1118,1018,RW,Enable DirectSwitch Toggle Mode on DI 2.2,Advanced
1119,1019,RW,Enable DirectSwitch Toggle Mode on DI 2.3,Advanced
1120,1020,RW,Enable DirectSwitch Toggle Mode on DI 2.4,Advanced
1121,1021,RW,Enable DirectSwitch Toggle Mode on DI 2.5,Advanced
