Via Unit 0,Via Unit 2,Register Count,R/W,Data Type,Content,Start Bit Nr.,Category
100,0,1,R,MixedBits,Digital Input 2.1,0,Basic
100,0,1,R,MixedBits,Digital Input 2.2,1,Basic
100,0,1,R,MixedBits,Digital Input 2.3,2,Basic
100,0,1,R,MixedBits,Digital Input 2.4,3,Basic
100,0,1,R,MixedBits,Digital Input 2.5,4,Basic
100,0,1,R,MixedBits,Digital Input 2.6,5,Basic
100,0,1,R,MixedBits,Digital Input 2.7,6,Basic
100,0,1,R,MixedBits,Digital Input 2.8,7,Basic
101,1,1,RW,MixedBits,Relay Output 2.1,0,Basic
101,1,1,RW,MixedBits,Relay Output 2.2,1,Basic
101,1,1,RW,MixedBits,Relay Output 2.3,2,Basic
101,1,1,RW,MixedBits,Relay Output 2.4,3,Basic
101,1,1,RW,MixedBits,Relay Output 2.5,4,Basic
101,1,1,RW,MixedBits,Relay Output 2.6,5,Basic
101,1,1,RW,MixedBits,Relay Output 2.7,6,Basic
101,1,1,RW,MixedBits,Relay Output 2.8,7,Basic
102,2,1,RW,MixedBits,Group MasterWatchDog (MWD) Status,,Advanced
103,3,2,RW,DWord,Counter of Digital Input 2.1,,Basic
105,5,2,RW,DWord,Counter of Digital Input 2.2,,Basic
107,7,2,RW,DWord,Counter of Digital Input 2.3,,Basic
109,9,2,RW,DWord,Counter of Digital Input 2.4,,Basic
111,11,2,RW,DWord,Counter of Digital Input 2.5,,Basic
113,13,2,RW,DWord,Counter of Digital Input 2.6,,Basic
115,15,2,RW,DWord,Counter of Digital Input 2.7,,Basic
117,17,2,RW,DWord,Counter of Digital Input 2.8,,Basic
119,19,1,W,Word,Reserved - Do Not Use,,Reserved
120,20,1,W,Word,Reserved - Do Not Use,,Reserved
121,21,1,W,Word,Reserved - Do Not Use,,Reserved
122,22,1,W,Word,Reserved - Do Not Use,,Reserved
123,23,1,RW,MixedBits,Synchronised DO/RO 2.1,0,Advanced
123,23,1,RW,MixedBits,Synchronised DO/RO 2.2,1,Advanced
123,23,1,RW,MixedBits,Synchronised DO/RO 2.3,2,Advanced
123,23,1,RW,MixedBits,Synchronised DO/RO 2.4,3,Advanced
123,23,1,RW,MixedBits,Synchronised DO/RO 2.5,4,Advanced
123,23,1,RW,MixedBits,Synchronised DO/RO 2.6,5,Advanced
123,23,1,RW,MixedBits,Synchronised DO/RO 2.7,6,Advanced
123,23,1,RW,MixedBits,Synchronised DO/RO 2.8,7,Advanced
124,24,1,RW,MixedBits,Synchronised DO/RO Lock 2.1,0,Advanced
124,24,1,RW,MixedBits,Synchronised DO/RO Lock 2.2,1,Advanced
124,24,1,RW,MixedBits,Synchronised DO/RO Lock 2.3,2,Advanced
124,24,1,RW,MixedBits,Synchronised DO/RO Lock 2.4,3,Advanced
124,24,1,RW,MixedBits,Synchronised DO/RO Lock 2.5,4,Advanced
124,24,1,RW,MixedBits,Synchronised DO/RO Lock 2.6,5,Advanced
124,24,1,RW,MixedBits,Synchronised DO/RO Lock 2.7,6,Advanced
