Via Unit 0,Via Unit 1,Register Count,R/W,Data Type,Content,Start Bit Nr.,Category
0,0,1,R,MixedBits,Digital Input 1.1,0,Basic
0,0,1,R,MixedBits,Digital Input 1.2,1,Basic
0,0,1,R,MixedBits,Digital Input 1.3,2,Basic
0,0,1,R,MixedBits,Digital Input 1.4,3,Basic
0,0,1,R,MixedBits,Digital Input 1.5,4,Basic
0,0,1,R,MixedBits,Digital Input 1.6,5,Basic
0,0,1,R,MixedBits,Digital Input 1.7,6,Basic
0,0,1,R,MixedBits,Digital Input 1.8,7,Basic
0,0,1,R,MixedBits,Digital Input 1.9,8,Basic
0,0,1,R,MixedBits,Digital Input 1.10,9,Basic
0,0,1,R,MixedBits,Digital Input 1.11,10,Basic
0,0,1,R,MixedBits,Digital Input 1.12,11,Basic
0,0,1,R,MixedBits,Digital Input 1.13,12,Basic
0,0,1,R,MixedBits,Digital Input 1.14,13,Basic
0,0,1,R,MixedBits,Digital Input 1.15,14,Basic
0,0,1,R,MixedBits,Digital Input 1.16,15,Basic
1,1,1,RW,MixedBits,Relay Output 1.1,0,Basic
1,1,1,RW,MixedBits,Relay Output 1.2,1,Basic
1,1,1,RW,MixedBits,Relay Output 1.3,2,Basic
1,1,1,RW,MixedBits,Relay Output 1.4,3,Basic
1,1,1,RW,MixedBits,Relay Output 1.5,4,Basic
1,1,1,RW,MixedBits,Relay Output 1.6,5,Basic
1,1,1,RW,MixedBits,Relay Output 1.7,6,Basic
1,1,1,RW,MixedBits,Relay Output 1.8,7,Basic
2,2,1,RW,MixedBits,Group MasterWatchDog (MWD) Status,,Advanced
3,3,2,RW,DWord,Counter of Digital Input 1.1,,Basic
5,5,2,RW,DWord,Counter of Digital Input 1.2,,Basic
7,7,2,RW,DWord,Counter of Digital Input 1.3,,Basic
9,9,2,RW,DWord,Counter of Digital Input 1.4,,Basic
11,11,2,RW,DWord,Counter of Digital Input 1.5,,Basic
13,13,2,RW,DWord,Counter of Digital Input 1.6,,Basic
15,15,2,RW,DWord,Counter of Digital Input 1.7,,Basic
17,17,2,RW,DWord,Counter of Digital Input 1.8,,Basic
19,19,2,RW,DWord,Counter of Digital Input 1.9,,Basic
21,21,2,RW,DWord,Counter of Digital Input 1.10,,Basic
23,23,2,RW,DWord,Counter of Digital Input 1.11,,Basic
25,25,2,RW,DWord,Counter of Digital Input 1.12,,Basic
27,27,2,RW,DWord,Counter of Digital Input 1.13,,Basic
29,29,2,RW,DWord,Counter of Digital Input 1.14,,Basic
31,31,2,RW,DWord,Counter of Digital Input 1.15,,Basic
33,33,2,RW,DWord,Counter of Digital Input 1.16,,Basic
35,35,1,W,Word,Reserved - Do Not Use,,Reserved
36,36,1,W,Word,Reserved - Do Not Use,,Reserved
37,37,1,W,Word,Reserved - Do Not Use,,Reserved
38,38,1,W,Word,Reserved - Do Not Use,,Reserved
39,39,1,RW,MixedBits,User LED 1.1,0,Basic
39,39,1,RW,MixedBits,User LED 1.2,1,Basic
39,39,1,RW,MixedBits,User LED 1.3,2,Basic
39,39,1,RW,MixedBits,User LED 1.4,3,Basic
